multidimensional_vida.varcharidcomunafk;multidimensional_vida.intaño;multidimensional_vida.decentornocalidadvivienda;multidimensional_vida.decaccesoserviciospublicos;multidimensional_vida.decmedioambiente;multidimensional_vida.decescolaridad;multidimensional_vida.decdescolarizacion;multidimensional_vida.decmovilidad;multidimensional_vida.deccapitalfisicohogar;multidimensional_vida.decparticipacion;multidimensional_vida.declibertadseguridad;multidimensional_vida.decvulnerabilida;multidimensional_vida.decsalud;multidimensional_vida.dectrabajo;multidimensional_vida.decrecreacion;multidimensional_vida.decpercepcioncalidadvida;multidimensional_vida.decingresos;multidimensional_vida.decimcv
01;2011;1.38;3.57;2.51;1.47;3.88;1.37;3.31;1.1;1.84;6.35;2.55;0.51;0.19;1.25;0.78;32.06
01;2012;1.39;3.61;2.28;1.59;3.9;1.35;3.68;0.81;1.59;6.9;2.62;0.52;0.33;1.4;0.96;32.88
01;2013;1.39;3.57;2.25;1.58;3.91;1.4;3.83;0.96;1.85;6.69;2.65;0.57;0.05;1.36;1.1;33.27
01;2014;1.41185394;3.58998192;2.12117405;1.60331481;3.9756344;1.29563863;3.73986346;1.00002143;1.59973557;6.9529484;2.56910502;0.55203192;0.05845583;1.27840029;1.12118222;32.82
01;2015;1.237;3.607;1.753;1.811;4.146;1.262;3.667;1.098;1.729;7.018;3.041;0.485;0.067;1.355;1.039;33.53
01;2016;1.48989247;3.61246967;2.21132615;1.65283137;4.02790314;1.32720293;4.03550106;1.05029728;1.87062301;7.30237531;2.82296531;0.66676485;0.05579456;1.41493828;1.200674;34.77
01;2017;1.41676154;3.47073611;2.19409231;1.57626985;4.07819209;1.31688291;3.94121283;1.0405364;1.68546581;7.1394703;2.84562901;0.46860107;0.07751966;1.39974167;1.26851026;33.97
01;2018;1.42758584;3.54279006;2.24808732;1.73339806;4.03688013;1.36507104;3.9393158;1.12354567;1.73899746;6.95627569;3.05238925;0.54344588;0.06753805;1.42712918;1.38186723;34.75
02;2011;1.91;4.0;2.73;1.52;3.95;1.59;4.08;0.88;1.98;7.41;2.99;0.54;0.44;1.44;0.96;36.4
02;2012;1.92;3.99;2.58;1.64;3.96;1.48;3.97;1.06;1.62;8.05;2.65;0.52;0.17;1.32;0.94;35.87
02;2013;1.92;3.98;2.31;1.72;3.93;1.51;4.3;0.99;1.87;7.58;2.92;0.63;0.06;1.32;1.01;36.06
02;2014;1.94377007;3.96789454;2.30798292;1.63545406;4.01002993;1.50708556;4.20046085;0.89229771;1.91689454;7.74517887;2.65890443;0.59984982;0.05509507;1.29532588;1.16518345;35.85
02;2015;1.722;3.879;1.807;1.921;4.2;1.309;3.874;1.096;1.805;7.829;3.205;0.507;0.056;1.447;1.096;35.96
02;2016;2.03428472;3.85377021;2.15064793;1.7068213;4.08360959;1.39375026;4.30684505;1.03700596;1.92669352;8.14547746;2.78815013;0.63056684;0.06259896;1.44299093;1.32749611;36.89
02;2017;1.97652526;3.77515842;2.20485632;1.75867381;4.09740974;1.43179763;4.26689711;1.15479658;1.69084289;8.07659526;2.75350054;0.54875395;0.07561105;1.48321158;1.33911342;36.6
02;2018;2.01060284;3.75679199;2.26423747;1.81149843;4.11123747;1.3845969;4.3397839;1.15422021;1.78860026;8.00423437;2.95535642;0.54503566;0.03313359;1.43515271;1.4088199;37.08
03;2011;2.06;3.83;2.82;1.61;3.98;1.52;4.13;0.96;1.66;7.11;2.93;0.5;0.25;1.38;1.03;35.78
03;2012;2.03;3.79;2.61;1.7;3.99;1.46;4.4;0.9;1.73;7.99;2.88;0.54;0.3;1.34;1.1;36.83
03;2013;2.02;3.81;2.42;1.73;4.04;1.41;4.34;1.04;1.93;7.78;2.76;0.59;0.05;1.32;1.23;36.49
03;2014;2.02471581;3.85828923;2.80769473;1.82259172;4.05492463;1.41405418;4.65730451;1.03362285;1.928648;8.25165521;3.19501079;0.58643288;0.04528442;1.40495682;1.30441615;38.44
03;2015;2.006;3.684;2.268;1.899;4.13;1.291;4.306;1.162;1.934;8.495;3.46;0.584;0.072;1.433;1.105;37.93
03;2016;2.06561683;3.8025835;2.45591454;1.79251781;4.12519608;1.35678807;4.47341826;1.10433971;1.84816552;8.26775;2.98439432;0.59487042;0.04371275;1.37676029;1.42797087;37.72
03;2017;2.05088053;3.62380297;2.40500017;1.85640609;4.16491106;1.27559587;4.28555217;1.11774802;1.72745594;8.33957838;3.01114154;0.47573102;0.0762297;1.40692855;1.45857864;37.28
03;2018;1.99942439;3.71660736;2.47493077;1.81746339;4.16818625;1.33637856;4.39790909;1.14721574;1.70790867;8.13390902;3.02678328;0.46543715;0.0758311;1.39485794;1.49125639;37.45
04;2011;3.37;3.92;2.58;1.82;4.03;1.53;5.35;1.0;1.64;9.62;3.09;0.6;0.29;1.4;1.24;41.48
04;2012;3.3;3.94;2.56;1.94;4.1;1.58;5.08;0.98;1.69;10.25;2.93;0.55;0.27;1.37;1.24;41.78
04;2013;3.32;3.85;2.51;1.89;4.11;1.46;5.06;1.36;1.85;10.18;2.75;0.6;0.04;1.33;1.29;41.6
04;2014;3.35207005;3.91557815;2.59913895;2.00188492;4.12426889;1.51159781;5.41696031;1.19376564;1.66449319;10.29102674;3.06753202;0.55132982;0.07569692;1.3821063;1.45896594;42.45
04;2015;3.413;3.909;2.373;2.06;4.152;1.546;5.267;1.234;2.027;10.841;3.757;0.604;0.098;1.54;1.249;44.29
04;2016;3.47198241;3.91813346;2.39054895;1.99916214;4.16273499;1.51070344;5.73550153;1.16844665;1.90120096;10.64762658;3.21421742;0.62118662;0.02316635;1.43052868;1.56115549;43.73
04;2017;3.47054444;3.89177969;2.44303352;2.06099014;4.20150421;1.46183985;5.42125846;1.17313333;1.73559713;10.6920775;3.03674124;0.44258966;0.06061571;1.48096954;1.55838615;43.27
04;2018;3.47298459;3.90701657;2.43790058;2.01275213;4.21647091;1.5114632;5.61176313;1.31705356;1.78640751;10.66442351;3.19028968;0.51217071;0.0983975;1.49206667;1.66135453;44.12
05;2011;4.32;4.12;3.24;2.1;4.11;1.68;6.17;1.06;1.55;11.77;3.64;0.58;0.48;1.51;1.42;47.73
05;2012;4.29;4.05;2.59;2.18;4.14;1.6;6.02;1.03;1.51;12.09;3.18;0.59;0.31;1.51;1.56;46.67
05;2013;4.28;4.12;3.03;2.25;4.15;1.73;6.38;1.08;1.79;11.7;3.68;0.67;0.1;1.53;1.68;48.19
05;2014;4.28667929;4.08217382;2.82733905;2.18666771;4.21629112;1.58570607;6.15162382;1.26785044;1.59238166;12.18805089;3.31640328;0.61513536;0.07657012;1.49660133;1.65554157;47.49
05;2015;3.998;4.012;2.314;2.278;4.254;1.527;5.95;1.315;1.733;11.83;3.672;0.6;0.101;1.556;1.453;46.9
05;2016;4.34043282;4.10307856;2.72710656;2.29339298;4.25149519;1.5724407;6.4531663;1.38857418;1.69676455;12.30511816;3.43813872;0.71275689;0.03532954;1.4872663;1.82785;48.69
05;2017;4.30344803;4.01390044;2.64114276;2.11432556;4.24245175;1.50700614;6.07955592;1.12603553;1.66910855;12.15458026;3.1792669;0.45836645;0.06118925;1.49014342;1.59774013;46.81
05;2018;4.29255916;4.04263201;2.64173377;2.23216904;4.29363002;1.58173002;6.32139183;1.3402404;1.7328713;12.13141744;3.36078239;0.5956351;0.10298499;1.50835077;1.88785752;48.06
06;2011;2.55;4.12;2.8;1.73;3.99;1.45;4.73;0.96;1.38;8.35;3.06;0.58;0.31;1.4;1.15;38.57
06;2012;2.54;4.12;2.77;1.74;4.05;1.55;4.65;0.93;1.59;9.12;3.11;0.53;0.34;1.4;1.14;39.68
06;2013;2.55;4.09;2.66;1.72;4.06;1.46;4.71;1.21;1.81;8.75;2.93;0.58;0.03;1.31;1.19;39.04
06;2014;2.54629149;4.12697946;2.73349387;1.86341068;4.12349137;1.52523167;4.85610308;1.22687911;1.66936549;9.1716714;3.12001399;0.57732509;0.05978854;1.44506198;1.3450975;40.29
06;2015;2.533;4.006;2.211;1.982;4.119;1.476;4.698;1.134;1.743;9.405;3.504;0.566;0.07;1.443;1.163;40.12
06;2016;2.60234286;4.03644959;2.6690243;1.93013465;4.18342414;1.49205944;5.14421796;1.26795444;1.81783744;9.47967718;3.13065652;0.60616289;0.03258309;1.49582956;1.50543678;41.43
06;2017;2.52684744;3.91886678;2.45227025;2.02628598;4.16219322;1.43207289;4.81510838;1.16342777;1.63837157;9.20760463;3.06178059;0.5077605;0.07440843;1.4251043;1.45667884;39.99
06;2018;2.55950115;4.04609345;2.56969313;1.90898339;4.15257119;1.52386596;4.96423164;1.27559149;1.76219705;9.17376607;3.15190368;0.489709;0.08355925;1.45629133;1.54754337;40.79
07;2011;3.32;4.07;3.13;2.23;4.12;1.49;5.72;1.07;1.67;9.81;3.46;0.58;0.33;1.42;1.5;43.84
07;2012;3.36;4.07;3.04;2.3;4.13;1.45;5.45;1.17;1.64;10.81;3.07;0.54;0.18;1.4;1.41;44.04
07;2013;3.34;4.06;3.03;2.29;4.1;1.49;5.89;1.22;1.71;10.19;3.42;0.67;0.06;1.48;1.69;44.62
07;2014;3.36988519;4.01066688;2.94414709;2.42758834;4.17953048;1.41141841;5.90184979;1.32764195;1.69520847;10.6108364;3.31394069;0.70067238;0.04624571;1.49970688;1.71588413;45.09
07;2015;3.199;3.957;2.827;2.376;4.159;1.531;5.427;1.322;1.803;10.511;3.631;0.546;0.05;1.46;1.44;44.16
07;2016;3.50953235;4.02970336;2.88939188;2.39221481;4.20106695;1.47073067;5.95940154;1.32328473;1.78792927;10.75553739;3.40876849;0.65309594;0.06128487;1.49713487;1.78246025;45.64
07;2017;3.49311293;3.96493573;2.73270774;2.43097562;4.21619783;1.3574163;5.71611762;1.23562776;1.58211101;10.86685082;3.22163128;0.54198533;0.07585842;1.46848764;1.64697705;44.9
07;2018;3.52854801;4.02489507;2.89166342;2.52675701;4.21099521;1.46484452;5.91743343;1.38123959;1.62360205;10.80437808;3.53759165;0.52267041;0.08600575;1.56436671;1.83385953;46.12
08;2011;2.21;3.56;2.71;1.8;3.97;1.4;4.35;1.01;1.66;7.82;2.9;0.53;0.26;1.39;1.04;36.57
08;2012;2.21;3.65;2.5;1.88;4.03;1.27;4.19;1.11;1.37;8.51;2.7;0.49;0.18;1.27;1.06;36.47
08;2013;2.19;3.66;2.66;1.96;4.03;1.41;4.68;1.01;1.71;8.18;3.14;0.61;0.05;1.39;1.25;37.94
08;2014;2.19861255;3.76278359;2.40542425;1.94717045;4.08667021;1.29913197;4.66572233;1.19777189;1.67669421;8.52419433;3.02002063;0.57556357;0.04743691;1.35157177;1.30713016;37.95
08;2015;2.231;3.615;2.439;1.866;4.129;1.38;4.502;1.101;1.914;8.91;3.576;0.597;0.079;1.428;1.41;39.14
08;2016;2.34283659;3.70612357;2.50499613;1.97128339;4.10980185;1.38680303;4.72186835;1.15753047;1.76997609;8.68951717;3.076058;0.59614562;0.05501582;1.4255564;1.38811875;38.76
08;2017;2.29775791;3.66556296;2.40859865;1.98918395;4.11868418;1.35408468;4.56357022;1.1219537;1.69030337;8.79440219;2.95170784;0.52801431;0.05261347;1.39905236;1.32155278;38.41
08;2018;2.29889346;3.7129646;2.46715168;2.00488695;4.18987399;1.43611678;4.89732949;1.24474849;1.75459614;8.84661544;3.11298307;0.49379933;0.06909732;1.47970403;1.52845429;39.67
09;2011;4.3;4.0;3.4;2.34;4.15;1.74;6.37;1.07;1.86;11.71;3.68;0.64;0.49;1.53;1.57;48.89
09;2012;4.32;4.06;3.12;2.44;4.15;1.57;6.69;1.19;1.77;11.92;3.52;0.62;0.43;1.51;1.78;49.2
09;2013;4.34;4.08;2.78;2.48;4.19;1.5;6.66;1.32;1.85;11.79;3.41;0.69;0.05;1.46;1.71;48.23
09;2014;4.36221283;4.1180462;2.858181;2.43190346;4.23597328;1.4867209;6.52651971;1.44486017;1.80613195;12.30197126;3.39827998;0.72714727;0.06489418;1.49802162;1.87718539;49.07
09;2015;4.334;4.014;2.78;2.656;4.255;1.546;6.244;1.271;1.911;12.471;3.729;0.625;0.071;1.513;1.854;49.21
09;2016;4.39831225;4.10663132;2.92259497;2.50346189;4.23342881;1.56874623;6.6490335;1.3344407;1.91787789;11.96628844;3.59894349;0.68250503;0.07129933;1.60041776;1.89978218;49.39
09;2017;4.3410674;3.96993552;2.7382904;2.47330527;4.29545859;1.46899057;6.33095572;1.23042963;1.71381633;12.29081296;3.38616341;0.57938653;0.09835152;1.52189933;1.77500643;48.21
09;2018;4.39576827;4.00242438;2.91175456;2.51509336;4.30357844;1.62618458;6.63996866;1.35391692;1.8559665;12.38827927;3.62413597;0.56155075;0.06925871;1.60856932;1.98633007;49.91
10;2011;6.62;4.03;2.96;2.78;4.31;1.67;7.6;1.17;1.61;15.17;3.76;0.62;0.52;1.55;1.95;56.23
10;2012;6.71;4.1;2.53;3.1;4.35;1.61;7.9;1.16;1.54;15.82;3.56;0.69;0.43;1.68;2.3;57.49
10;2013;6.59;4.15;2.51;3.12;4.34;1.58;7.85;1.47;1.64;14.99;3.6;0.8;0.07;1.56;2.42;56.76
10;2014;6.56709537;4.09538881;2.54201817;3.02962284;4.39094312;1.50362404;7.89471963;1.42013945;1.60125817;15.59128862;3.61844015;0.67783945;0.10993872;1.53427817;2.23602642;56.95
10;2015;6.458;3.884;2.146;3.015;4.364;1.525;7.039;1.402;1.653;15.556;3.645;0.718;0.109;1.523;1.887;54.67
10;2016;6.60087108;4.00004432;2.42514757;2.97247575;4.32915838;1.58850757;7.59654405;1.37623189;1.68140649;14.71617216;3.67744338;0.71554135;0.06983541;1.56083378;2.36583008;55.91
10;2017;6.45976757;3.78290639;2.5832225;2.7879757;4.35424944;1.52877806;7.33667139;1.37968778;1.58461944;15.44886194;3.49687464;0.56732667;0.06146667;1.47331083;2.18881306;55.29
10;2018;6.58598023;3.99996359;2.55383137;2.99894148;4.39019468;1.6632619;7.52440672;1.505607;1.57572577;15.50772493;3.65559484;0.57441485;0.13789244;1.58135098;2.31554576;56.42
11;2011;8.79;4.2;3.63;3.7;4.37;1.82;10.9;1.38;1.72;19.87;4.31;0.69;0.55;1.79;2.93;70.87
11;2012;8.79;4.18;3.29;3.91;4.45;1.67;10.66;1.4;1.75;19.94;3.96;0.69;0.43;1.75;2.93;69.85
11;2013;8.78;4.29;3.17;3.8;4.46;1.72;10.82;1.58;1.74;19.21;4.18;0.64;0.08;1.78;2.89;69.19
11;2014;8.77384843;4.21505088;3.24240855;3.78857269;4.47124491;1.70124233;10.96145482;1.66821481;1.70229607;19.80157178;4.11696899;0.65192592;0.10519674;1.71823867;3.07801262;70.1
11;2015;8.8;4.109;3.126;3.811;4.496;1.717;9.612;1.602;1.869;19.764;3.526;0.648;0.086;1.731;2.564;67.46
11;2016;8.78379921;4.2807334;3.16281473;3.87585335;4.46905658;1.74369548;10.89643674;1.67783006;1.8197057;19.81389077;4.18269494;0.70083831;0.07413242;1.77804145;3.0684004;70.38
11;2017;8.81168797;4.09821604;2.97677019;3.75593352;4.43093604;1.65448774;10.44443453;1.58010529;1.78238377;19.79249094;3.98752781;0.58238189;0.10900189;1.73563226;2.90017278;68.91
11;2018;8.81480544;4.17644395;3.1298643;3.85963931;4.48826276;1.71894376;10.52543071;1.71088925;1.73872226;19.86388752;4.13656588;0.49361631;0.13424607;1.72520557;3.11213127;69.62
12;2011;7.31;4.16;3.44;3.13;4.33;1.7;9.04;1.31;1.7;16.78;4.08;0.66;0.41;1.61;2.58;62.25
